word,freq
delúbio,1573
apontou,1572
previsão,1572
salvador,1572
autor,1570
andrade,1567
julgado,1567
grau,1566
conversar,1564
faria,1562
intenções,1562
certa,1561
esforço,1561
argumentou,1560
chega,1560
recentemente,1560
renato,1559
explicar,1558
concluiu,1555
oab,1555
pobres,1555
rosa,1554
justamente,1553
previsto,1553
assessores,1552
contar,1552
repasses,1552
água,1550
amaral,1548
camargo,1547
comissões,1547
publicada,1543
santo,1542
tais,1542
praticamente,1538
augusto,1537
eleger,1537
ligado,1537
bancos,1535
multa,1535
efeitos,1533
pmdb-al,1532
afirmar,1530
tornar,1529
américa,1528
acredito,1527
livro,1527
usou,1526
convenção,1523
medo,1523
oficiais,1522
ciro,1521
falando,1521
convocação,1520
desafio,1520
atender,1519
indícios,1519
natureza,1518
tecnologia,1517
tarefa,1516
meios,1515
nove,1515
lembra,1512
possam,1512
próprios,1510
analisar,1509
peso,1509
preço,1508
integração,1507
sabia,1506
penas,1503
acontecer,1502
resistência,1501
máquina,1499
petróleo,1499
benefício,1498
permite,1498
vítima,1497
ativa,1495
guimarães,1494
opção,1494
contexto,1491
sentença,1490
iria,1487
gleisi,1485
aberta,1484
baixo,1484
próximas,1483
facebook,1481
moura,1481
através,1479
poderão,1477
colaboração,1475
mantém,1475
rejeição,1474
tempos,1472
terem,1472
militância,1470
plebiscito,1470
passo,1469
márcio,1468
mostram,1468
viu,1467
concessão,1466
missão,1465
nelson,1464
abriu,1463
suíça,1463
demóstenes,1462
representante,1462
ligados,1461
tomou,1461
alegre,1460
edição,1459
ensino,1457
terça,1457
ceará,1456
liminar,1456
juntos,1455
promotores,1455
ocupar,1453
folha,1449
suficiente,1448
prefeituras,1447
procedimento,1447
trata-,1447
aplicação,1446
pedindo,1446
ampliar,1444
criado,1443
marcada,1442
terceira,1440
resolução,1439
jeito,1438
pezão,1436
anteriores,1435
ameaça,1434
conclusão,1434
depende,1434
detalhes,1434
aceitar,1433
apresentada,1433
cerveró,1431
definição,1429
nunes,1428
exército,1424
familiares,1423
licitações,1423
filha,1420
prevista,1420
tributária,1420
década,1419
fiscalização,1419
motivos,1418
aloysio,1414
aborto,1412
acusou,1411
cientista,1411
unidades,1411
poderiam,1408
votado,1408
moreira,1406
mudou,1406
protesto,1406
queiroz,1405
grosso,1404
polêmica,1404
prestar,1404
divisão,1403
andamento,1402
orientação,1402
vive,1401
realizar,1399
caiu,1398
limite,1398
verbas,1398
notícia,1397
divulgou,1396
impostos,1396
cumprimento,1395
zavascki,1394
engenharia,1393
dando,1392
funções,1392
proteção,1391
chance,1390
ora,1387
publicidade,1387
reuniu,1387
estará,1385
obter,1385
lançar,1384
pessoais,1384
práticas,1384
rural,1383
citados,1382
erros,1382
morto,1380
rocha,1378
contribuição,1377
oficialmente,1377
presidenta,1376
anúncio,1374
liberação,1373
lembrar,1372
capaz,1371
manteve,1370
pensar,1369
solidariedade,1369
concorrer,1368
exatamente,1368
segue,1368
araújo,1367
cláudio,1367
blog,1363
atitude,1356
páginas,1355
melhores,1354
citar,1353
vencer,1353
reais,1352
dada,1351
quinta,1351
pobreza,1350
palanque,1345
passaram,1345
punição,1345
perante,1344
garantia,1343
demissão,1342
trabalha,1342
determinou,1341
cedo,1337
prejuízo,1335
garantiu,1334
vagas,1334
regionais,1333
sindical,1333
escolas,1332
trecho,1332
avaliar,1331
casas,1331
convite,1331
direita,1331
homens,1331
direto,1330
pacote,1329
disseram,1328
comportamento,1327
branco,1326
leva,1326
princípios,1326
afastado,1324
fonte,1324
organizações,1323
escândalos,1320
acontece,1318
entrega,1318
participaram,1318
tucana,1318
paz,1317
toffoli,1317
democrática,1316
lacerda,1316
ligação,1316
presidenciais,1316
recebimento,1316
desgaste,1314
ruim,1313
obama,1312
virou,1311
atuar,1310
regiões,1308
humberto,1307
passiva,1307
técnicos,1307
considerada,1306
divulgado,1306
indica,1304
incluindo,1303
mato,1303
avanço,1302
organizado,1302
fazia,1301
moraes,1301
derrotado,1299
bandeira,1297
publicação,1297
contratação,1296
profissionais,1296
planos,1295
juízo,1294
carro,1293
reajuste,1293
acaba,1292
possíveis,1290
tamanho,1290
realmente,1288
criticar,1286
castro,1285
delta,1285
figura,1285
alternativa,1283
provisória,1282
externa,1281
trazer,1281
delatores,1280
longe,1279
lobista,1277
legais,1276
arrecadação,1275
apurar,1274
bruno,1274
cid,1274
independente,1273
pib,1273
apresentação,1272
certamente,1272
fortes,1272
explica,1270
cima,1268
mãe,1268
centrais,1267
pgr,1267
martins,1266
tramitação,1264
posições,1263
sinal,1261
espírito,1259
mendonça,1259
bndes,1257
quadros,1257
requerimento,1257
médicos,1256
entregar,1255
nacionais,1255
objeto,1254
apartamento,1253
ideli,1253
dirigente,1252
publicado,1251
realizadas,1251
recorrer,1251
compromissos,1249
observou,1249
aloizio,1248
manifestar,1248
acreditar,1247
entretanto,1247
luz,1247
macedo,1247
lúcia,1246
chegaram,1245
reunir,1245
magistrado,1244
responde,1244
stj,1243
turismo,1243
criou,1242
enviado,1241
dizia,1240
escrito,1240
preços,1238
fator,1237
gurgel,1237
romero,1237
leia,1234
corrida,1233
lupi,1233
estabilidade,1232
itália,1231
magistrados,1231
baixa,1230
pacto,1229
esperança,1228
escolher,1226
globo,1226
ilegal,1226
governista,1225
tráfico,1225
abreu,1224
campinas,1223
ccj,1222
médio,1222
argumentos,1221
discursos,1221
inicial,1221
classificou,1220
duque,1220
suposta,1220
razões,1219
cadeia,1216
dúvidas,1216
escolhido,1216
instrumento,1216
título,1216
hospital,1215
skaf,1215
permitir,1213
pronunciamento,1212
questionou,1211
entregue,1210
transferência,1210
deveriam,1209
indicar,1209
intervenção,1209
estudo,1208
tornou,1208
alvos,1207
reconheceu,1207
potencial,1206
recuperação,1206
suspensão,1206
construtora,1205
votaram,1205
melo,1204
crescer,1202
metrô,1202
consenso,1201
sustenta,1200
começo,1199
garotinho,1199
trajetória,1198
fiz,1197
máximo,1197
integrante,1195
renúncia,1195
rogério,1195
critérios,1192
daniel,1191
lopes,1191
daqui,1189
trânsito,1189
recentes,1188
alegou,1186
íntegra,1186
estatais,1185
acompanhar,1183
voz,1181
exceção,1180
fontes,1180
margem,1180
ônibus,1180
transição,1180
cadeira,1179
econômicos,1179
jantar,1179
frança,1176
levado,1175
obteve,1175
receberam,1175
vejo,1175
jefferson,1174
assinado,1173
atendimento,1173
bilhão,1173
capitais,1173
federação,1173
partidárias,1173
peça,1173
necessária,1172
situações,1171
permanente,1169
residência,1169
terras,1169
médico,1168
ocorrido,1168
elementos,1167
anastasia,1165
ilícito,1165
destaque,1163
meirelles,1163
mesmos,1163
venda,1163
chama,1162
encontros,1162
evidente,1162
publicamente,1162
aproximação,1161
inclusão,1161
profissional,1161
anunciar,1160
cofres,1159
procurado,1158
mobilização,1155
refinaria,1155
sindicato,1155
vir,1155
